nominal_size,schedule
1/8,5S
1/4,10
3/8,10S
1/2,20
3/4,30
1,40
1 1/4,40S
1 1/2,40ST
2,60
2 1/2,60XS
3,80
3 1/3,80S
4,80XS
5,100
6,120
8,140
10,160
12,ST
14,XS
16,XX
18,
20,
24,
30,
